page,clicks,impressions,ctr,position
https://shitugyoukyufu.com/tokutei.html,6,345,0.017391,13.249
https://shitugyoukyufu.com/teinengo.html,5,719,0.006954,8.922
https://shitugyoukyufu.com/parttime.html,4,756,0.005291,14.586
https://shitugyoukyufu.com/calculator.html,2,160,0.0125,27.188
https://shitugyoukyufu.com/scam.html,2,51,0.039216,15.078
https://shitugyoukyufu.com/timeline.html,1,20,0.05,12
https://shitugyoukyufu.com/,0,80,0,5.5
https://shitugyoukyufu.com/checklist.html,0,61,0,11.951
https://shitugyoukyufu.com/company.html,0,158,0,4.272
https://shitugyoukyufu.com/elder.html,0,99,0,62.354
https://shitugyoukyufu.com/health-insurance.html,0,20,0,7.85
https://shitugyoukyufu.com/keizoku.html,0,318,0,8.072
https://shitugyoukyufu.com/mental-check.html,0,9,0,7.667
https://shitugyoukyufu.com/voluntary.html,0,5,0,45.4
